Item,Cost,Link,Quantity
Raspberry Pi Pico ,4.94 USD,https://botland.com.pl/moduly-i-zestawy-do-raspberry-pi-pico/18767-raspberry-pi-pico-rp2040-arm-cortex-m0-0617588405587.html,1
Micro SD card ,2.56 USD ,https://pl.farnell.com/molex/104031-0811/connector-micro-sd-8pos/dp/2678573?srsltid=AfmBOop4cjIzaVu8hfIHMP871mYQuhebv0rEr_-Nvpk_wUB1qu24MNZC,1
USB_A ,0.86 USD,https://www.digikey.pl/pl/products/detail/cnc-tech/1001-011-01101/3064739?srsltid=AfmBOorIKRMa4xjH2wBGTeFGlcepA0Hn9P8wviLBaRUREZm50Ef58_zC,1
TP4057 power manager,0.82 USD,https://allegro.pl/produkt/tp4057-battery-charger-1af03e5b-a3f5-4e60-a73b-e6587dc6ee7f?offerId=17890124524,1
Keyboard CardKB V1.1 ATmega8A ,10.63 USD,https://botland.com.pl/moduly-unit-moduly-rozszerzen/21897-mini-klawiatura-keyboard-cardkb-v11-atmega8a-modul-rozszerzen-unit-do-modulow-deweloperskich-m5stack-u035-b-6972934173782.html,1
PIN HEADER 1x40,1.64 USD,https://allegro.pl/produkt/zlacze-szpilkowe-pin-header-1x40-h-30mm-rm-2-54mm-7a350a7e-0498-4583-8c29-9f037f3ad1fc?offerId=7931790327,1
"Dissplay LCD 2.8"" 320x240px ST7789 SPI",10.63 USD,https://elektroweb.pl/pl/wyswietlacze-lcd/1285-wyswietlacz-lcd-28-240x320-st7789-spi-dotykowy-slot-microsd.html?gad_source=1&gad_campaignid=22555279180&gbraid=0AAAAADsUy2ae0J2IuCop7viUUO1lpP-GK&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxKuev4wqrsB1S3inf3nmBAkbw_49dFTvfmAAMxfGj9tlz8YN0hcKHgaAi5PEALw_wcB,1
LiPo 1000mAh 3.7V battery,6.26 USD,https://botland.com.pl/akumulatory-li-pol-1s-37v/15613-akumulator-li-pol-akyga-1000mah-1s-37v-zlacze-jst-bec-gniazdo-48x30x7mm-5904422324230.html,1
Male to male wire (for the battery),1.18 USD,http://abc-rc.pl/pl/products/przewody-kable-zworki-dupont-m-m-40-szt-10cm-mesko-meskie-18982.html,1
Female to female wire (for keyboard and screen),1.35 USD,https://botland.com.pl/przewody-polaczeniowe-zensko-zenskie/19948-przewody-polaczeniowe-zensko-zenskie-justpi-10cm-40szt-5904422328672.html,1
Total,40.87 USD,,10